quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
12,64.0,64.0,1.0,1.0,4.2
10,25.0,80.0,3.0,3.0,5.47
Thủ Đức (TP. Thủ Đức),80.0,80.0,3.0,3.0,6.2
Thủ Đức (TP. Thủ Đức),56.0,56.0,3.0,2.0,4.95
4,70.0,70.0,2.0,2.0,2.02
7,211.0,300.0,4.0,5.0,79.0
1,45.0,160.0,4.0,4.0,19.0
Bình Thạnh,43.0,85.0,3.0,2.0,5.8
7,68.0,200.0,4.0,4.0,9.9
12,120.0,120.0,4.0,5.0,4.8
9,98.0,115.0,6.0,6.0,10.0
1,88.0,88.0,2.0,2.0,35.0
12,90.0,90.0,4.0,5.0,8.5
Thủ Đức (TP. Thủ Đức),46.0,46.0,7.0,5.0,3.6
9,52.5,120.0,4.0,3.0,4.0
4,57.7,115.0,2.0,1.0,7.18
12,80.0,80.0,4.0,6.0,7.7
Tân Phú,51.0,200.0,3.0,3.0,5.1
7,94.0,250.0,4.0,4.0,9.4
2,135.0,135.0,3.0,2.0,16.8
9,160.0,160.0,10.0,10.0,10.499
9,89.5,140.0,2.0,2.0,5.9
10,40.0,40.0,4.0,5.0,8.3
Phú Nhuận,288.0,232.0,4.0,5.0,47.0
5,60.0,120.0,3.0,2.0,0.82
4,75.0,75.0,2.0,2.0,2.1
11,59.0,119.0,2.0,2.0,0.91
8,80.0,160.0,3.0,2.0,7.9
2,110.0,110.0,3.0,3.0,1.505
Tân Bình,97.0,97.0,1.0,1.0,14.5
4,72.0,72.0,2.0,2.0,2.015
Phú Nhuận,85.0,880.0,9.0,10.0,30.0
6,72.0,72.0,8.0,9.0,19.5
Thủ Đức (TP. Thủ Đức),144.0,144.0,7.0,6.0,8.2
6,110.0,110.0,2.0,2.0,20.0
2,100.0,100.0,2.0,2.0,14.0
Phú Nhuận,125.0,500.0,3.0,4.0,34.0
3,264.0,264.0,1.0,1.0,59.0
5,60.0,120.0,3.0,3.0,1.13
Bình Tân,67.0,107.0,4.0,3.0,4.989
7,60.0,60.0,3.0,4.0,6.79
6,80.0,91.4,2.0,2.0,7.2
10,35.0,80.0,3.0,2.0,5.15
Phú Nhuận,41.0,41.0,2.0,2.0,4.3
Tân Phú,96.0,440.0,6.0,7.0,31.8
Thủ Đức (TP. Thủ Đức),94.0,94.0,8.0,8.0,9.9
2,92.0,219.6,5.0,5.0,10.3
1,576.0,1152.0,2.0,2.0,480.0
9,94.0,120.0,1.0,1.0,11.0
6,80.0,400.0,5.0,6.0,11.8
5,62.0,300.0,5.0,5.0,11.5
9,356.7,396.9,5.0,6.0,29.8
Bình Tân,79.9,79.9,1.0,1.0,6.6
9,160.0,60.0,10.0,10.0,10.5
11,47.0,144.0,5.0,5.0,6.2
4,80.0,80.0,2.0,2.0,2.18
11,67.0,180.0,3.0,3.0,23.5
11,58.0,58.0,5.0,4.0,2.19
2,92.0,92.0,2.0,2.0,12.5
1,408.0,288.0,3.0,3.0,130.0
4,72.0,72.0,2.0,1.0,4.9
Phú Nhuận,56.0,100.0,2.0,2.0,7.5
10,86.0,86.0,2.0,2.0,7.0
12,60.0,60.0,3.0,2.0,5.2
Tân Bình,208.0,1040.0,5.0,2.0,34.0
12,84.0,320.0,4.0,5.0,10.0
11,56.0,110.0,3.0,3.0,0.96
11,63.0,180.0,4.0,4.0,8.3
