quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
1,48.0,136.4,4.0,3.0,11.9
1,659.0,4035.0,20.0,20.0,210.0
1,225.0,545.0,6.0,6.0,200.0
1,234.0,234.0,1.0,1.0,169.999
1,64.0,256.0,4.0,4.0,68.0
1,38.0,228.0,6.0,6.0,30.0
2,95.0,95.0,3.0,2.0,1.55
2,67.0,67.0,2.0,2.0,1.34
2,105.0,396.0,5.0,5.0,30.0
2,189.0,500.0,16.0,17.0,24.9
2,339.9,600.0,4.0,4.0,80.0
2,104.0,392.0,5.0,5.0,30.0
2,100.0,395.0,4.0,5.0,32.5
2,80.0,262.8,4.0,5.0,16.0
2,114.0,114.0,1.0,1.0,25.5
2,160.0,160.0,3.0,3.0,40.0
2,100.0,284.4,4.0,5.0,29.5
2,149.4,323.0,4.0,5.0,39.5
2,189.0,189.0,16.0,17.0,24.9
2,149.4,323.0,4.0,5.0,40.0
2,130.0,390.0,10.0,10.0,33.0
2,108.0,480.0,4.0,5.0,22.0
2,200.0,400.0,5.0,5.0,50.0
2,100.0,300.0,4.0,5.0,18.0
2,533.0,656.6,5.0,6.0,200.0
2,212.0,424.0,4.0,4.0,60.0
2,134.5,300.0,4.0,5.0,34.0
2,249.6,500.0,5.0,5.0,75.0
2,350.0,500.0,4.0,5.0,98.0
2,294.1,437.1,4.0,5.0,58.0
2,533.0,533.0,4.0,4.0,200.0
2,100.0,356.5,4.0,4.0,29.0
2,80.0,240.0,4.0,5.0,24.0
2,156.5,400.0,4.0,4.0,36.0
2,80.0,240.0,5.0,5.0,29.0
2,164.2,300.0,4.0,5.0,33.0
2,144.0,689.6,5.0,6.0,62.0
2,312.5,889.4,6.0,7.0,170.0
2,119.0,357.0,5.0,6.0,31.0
2,200.0,400.0,5.0,5.0,60.0
2,119.0,350.0,4.0,5.0,31.5
2,200.0,1200000.0,8.0,8.0,115.0
2,310.0,1210.0,53.0,53.0,39.0
2,37.0,74.0,2.0,2.0,4.1
2,62.0,186.0,4.0,4.0,4.9
2,58.0,186.0,6.0,3.0,6.4
2,36.0,66.0,2.0,2.0,4.1
2,100.0,100.0,2.0,2.0,6.75
2,280.0,280.0,2.0,2.0,30.0
2,56.0,73.0,2.0,2.0,5.35
2,95.0,95.0,3.0,2.0,1.689
2,133.0,133.0,4.0,5.0,70.0
2,129.5,400.0,4.0,4.0,25.0
2,69.0,69.0,2.0,1.0,2.234
2,95.0,95.0,3.0,2.0,2.455
2,104.7,314.0,4.0,5.0,30.0
2,76.0,185.0,4.0,5.0,25.0
2,160.0,400.0,4.0,5.0,38.7
2,130.0,380.0,5.0,5.0,33.0
2,338.0,409.0,4.0,5.0,105.0
