quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
4,92.0,92.0,2.0,2.0,5.5
4,117.0,117.0,3.0,2.0,7.5
4,75.0,75.0,2.0,2.0,0.025
4,46.2,46.2,2.0,3.0,2.25
4,56.0,56.0,3.0,3.0,2.59
4,33.0,66.0,2.0,2.0,4.2
4,111.0,111.0,3.0,2.0,5.55
4,60.0,120.0,3.0,3.0,1.135
4,64.0,126.0,3.0,3.0,0.97
4,59.0,118.0,3.0,3.0,1.279
4,111.0,111.0,3.0,2.0,5.55
4,60.0,180.0,3.0,2.0,0.98
4,60.0,180.0,3.0,3.0,0.94
4,80.0,80.0,2.0,2.0,2.18
4,64.0,192.0,3.0,3.0,0.96
4,58.0,116.0,3.0,3.0,0.92
4,67.0,134.0,3.0,3.0,0.98
4,64.0,128.0,3.0,2.0,0.93
4,70.0,140.0,3.0,3.0,1.1
4,60.0,120.0,3.0,3.0,0.96
4,67.0,134.0,3.0,3.0,0.98
4,60.0,120.0,3.0,3.0,0.92
4,65.0,130.0,3.0,3.0,0.97
4,60.0,118.0,3.0,3.0,0.87
4,62.0,124.0,3.0,3.0,0.83
4,80.0,80.0,2.0,2.0,3.8
4,55.0,110.0,2.0,2.0,0.93
4,58.0,116.0,2.0,2.0,0.93
4,80.0,80.0,2.0,2.0,4.76
4,75.0,75.0,2.0,2.0,2.1
4,55.0,110.0,2.0,2.0,0.93
4,56.0,112.0,2.0,2.0,0.89
4,60.6,111.0,3.0,3.0,1.35
4,80.0,80.0,2.0,2.0,1.78
4,73.0,73.0,3.0,2.0,1.89
4,74.0,74.0,2.0,2.0,1.75
4,24.1,24.1,4.0,4.0,1.8
4,106.0,106.0,3.0,2.0,1.59
4,55.0,165.0,4.0,3.0,1.1
4,50.0,150.0,4.0,3.0,0.916
4,60.0,180.0,4.0,3.0,0.899
4,50.0,150.0,4.0,3.0,1.15
4,52.0,156.0,4.0,3.0,0.895
4,54.0,54.0,2.0,2.0,1.99
4,12.0,26.0,1.0,1.0,1.79
4,80.0,80.0,2.0,2.0,1.77
4,60.0,60.0,1.0,1.0,4.7
4,51.0,51.0,1.0,1.0,2.5
4,72.0,253.0,3.0,3.0,26.0
4,51.0,82.0,2.0,3.0,6.2
4,58.0,116.0,3.0,3.0,1.46
4,58.0,116.0,3.0,3.0,1.46
4,61.0,122.0,3.0,2.0,1.38
4,45.0,90.0,2.0,2.0,0.75
4,80.0,80.0,3.0,2.0,5.9
4,81.0,81.0,2.0,2.0,4.3
4,45.0,150.0,3.0,3.0,5.3
4,50.0,50.0,3.0,3.0,1.266
4,62.0,62.0,3.0,4.0,2.59
4,58.0,58.0,3.0,4.0,2.35
4,74.0,74.0,5.0,5.0,2.49
4,171.0,342.0,2.0,2.0,75.0
4,28.0,28.0,1.0,1.0,2.0
4,80.0,360.0,4.0,4.0,28.0
4,82.0,82.0,2.0,2.0,3.5
4,117.0,117.0,3.0,2.0,6.0
4,117.0,117.0,3.0,2.0,6.0
4,92.0,92.0,2.0,2.0,4.5
4,81.0,81.0,2.0,2.0,3.95
4,81.0,81.0,2.0,2.0,3.9
4,92.0,92.0,2.0,2.0,4.5
4,76.0,76.0,2.0,2.0,3.5
4,80.0,80.0,2.0,2.0,3.95
4,92.0,92.0,2.0,2.0,4.5
4,117.0,117.0,3.0,2.0,5.9
4,71.0,71.0,2.0,2.0,1.72
4,97.0,380.0,13.0,13.0,11.0
4,196.0,196.0,3.0,2.0,20.972
4,75.0,75.0,2.0,2.0,3.7
4,80.0,80.0,2.0,2.0,4.7
4,76.0,76.0,2.0,2.0,4.0
4,59.0,59.0,2.0,1.0,2.8
4,80.0,80.0,2.0,2.0,3.6
4,61.0,61.0,2.0,1.0,3.4
4,117.0,117.0,3.0,2.0,7.2
4,82.5,82.5,3.0,2.0,3.5
4,40.0,40.0,1.0,1.0,2.3
4,79.0,79.0,2.0,2.0,4.0
4,30.0,120.0,3.0,3.0,6.25
4,32.0,160.0,6.0,2.0,3.85
4,50.0,100.0,3.0,3.0,4.0
4,52.0,200.0,5.0,6.0,8.4
4,66.0,240.0,5.0,5.0,7.2
4,62.0,300.0,5.0,7.0,6.3
4,69.0,130.0,2.0,2.0,6.9
4,44.0,44.0,4.0,4.0,5.9
4,84.0,400.0,7.0,5.0,17.999
4,58.5,58.5,2.0,2.0,3.39
4,28.0,85.0,3.0,3.0,3.55
4,51.0,120.0,3.0,2.0,4.95
4,45.0,180.0,4.0,4.0,4.849
4,41.0,165.0,6.0,7.0,15.0
4,163.0,1305.0,13.0,15.0,44.0
4,108.0,215.0,5.0,3.0,12.0
4,84.0,257.0,7.0,4.0,18.5
4,35.0,98.0,2.0,3.0,6.0
4,87.0,87.0,3.0,2.0,5.9
4,105.0,105.0,3.0,2.0,4.3
4,105.0,105.0,3.0,2.0,4.3
4,76.0,76.0,2.0,1.0,3.25
4,105.0,105.0,3.0,2.0,4.3
4,61.0,61.0,1.0,1.0,2.699
4,80.0,80.0,2.0,2.0,3.6
4,84.0,84.0,2.0,2.0,3.7
4,62.0,62.0,3.0,2.0,0.98
4,50.0,50.0,2.0,2.0,0.975
4,60.0,60.0,3.0,3.0,0.96
4,64.0,64.0,3.0,3.0,0.98
4,60.0,59.0,4.0,2.0,0.98
4,60.0,60.0,3.0,2.0,1.1
4,68.0,68.0,3.0,2.0,1.1
4,58.0,58.0,3.0,2.0,0.93
4,61.0,61.0,3.0,3.0,0.97
4,55.0,54.0,3.0,2.0,0.93
4,60.0,120.0,3.0,2.0,0.912
4,55.0,110.0,3.0,2.0,0.93
4,55.0,110.0,3.0,2.0,0.93
4,64.0,128.0,3.0,3.0,0.855
4,56.0,104.0,3.0,3.0,1.22
4,36.0,72.0,1.0,2.0,4.0
4,88.0,160.0,3.0,2.0,8.2
4,105.0,105.0,3.0,2.0,4.3
4,62.0,62.0,2.0,1.0,2.85
4,45.0,45.0,2.0,2.0,2.53
4,56.0,110.0,3.0,3.0,1.58
4,62.0,124.0,3.0,3.0,1.95
4,58.0,116.0,3.0,3.0,1.46
4,21.0,21.0,2.0,3.0,4.35
4,60.0,119.0,5.0,12.0,1.44
4,70.0,140.0,3.0,3.0,1.079
4,65.0,129.0,3.0,4.0,1.24
4,50.0,50.0,1.0,1.0,1.15
4,54.0,107.0,2.0,3.0,1.169
4,58.8,58.8,3.0,2.0,2.2
4,95.0,95.0,3.0,2.0,2.7
4,87.0,87.0,2.0,2.0,1.85
4,68.0,68.0,3.0,2.0,1.85
4,86.0,86.0,2.0,2.0,3.0
4,74.0,74.0,2.0,2.0,2.6
4,57.0,57.0,2.0,1.0,2.2
4,105.0,105.0,3.0,2.0,2.35
4,117.0,117.0,3.0,2.0,3.25
4,80.0,80.0,2.0,2.0,1.75
4,58.0,116.0,2.0,2.0,1.02
4,66.6,148.0,4.0,4.0,8.5
4,66.6,148.8,3.0,4.0,8.5
4,70.0,70.0,4.0,3.0,2.25
4,56.0,112.0,3.0,3.0,1.26
4,56.0,112.0,3.0,2.0,1.22
4,58.0,116.0,3.0,3.0,1.029
4,26.0,52.0,1.0,2.0,6.5
4,30.0,30.0,1.0,1.0,2.85
4,50.0,183.0,7.0,7.0,7.9
4,65.0,65.0,2.0,1.0,5.2
4,40.0,128.0,4.0,4.0,5.3
4,72.0,72.0,2.0,1.0,3.7
4,15.6,32.0,2.0,1.0,1.5
4,60.0,120.0,3.0,2.0,2.5
4,34.0,64.0,1.0,2.0,2.99
4,11.9,23.0,1.0,1.0,1.15
4,42.6,95.0,2.0,2.0,3.1
4,30.0,140.0,3.0,4.0,4.7
4,26.0,70.0,2.0,2.0,2.1
4,20.0,60.0,2.0,3.0,2.0
4,49.0,150.0,2.0,3.0,2.5
5,40.0,200.0,10.0,11.0,15.5
5,88.0,300.0,3.0,3.0,25.0
5,60.0,250.0,5.0,6.0,20.4
5,50.0,200.0,4.0,5.0,10.8
5,50.0,150.0,3.0,3.0,23.0
5,77.0,210.0,6.0,6.0,28.6
5,48.0,200.0,6.0,5.0,15.5
5,55.0,100.0,2.0,2.0,9.4
5,60.0,120.0,2.0,2.0,10.9
5,73.0,400.0,6.0,4.0,16.0
5,50.0,200.0,4.0,4.0,10.5
5,40.0,200.0,6.0,6.0,14.8
5,70.0,300.0,11.0,11.0,10.5
5,76.0,208.8,5.0,5.0,18.5
5,124.0,500.0,6.0,6.0,46.0
5,80.0,350.0,4.0,4.0,17.0
5,100.0,500.0,10.0,11.0,18.5
5,50.0,100.0,2.0,2.0,9.8
5,86.0,156.0,2.0,2.0,24.9
5,52.0,200.0,4.0,3.0,9.5
5,50.0,200.0,5.0,5.0,12.9
5,88.0,88.0,8.0,8.0,19.5
5,50.0,50.0,5.0,6.0,24.5
5,140.0,890.0,10.0,10.0,0.24
5,104.0,500.0,6.0,6.0,47.0
5,24.0,60.0,2.0,2.0,4.95
5,27.0,27.0,5.0,5.0,33.5
5,45.0,45.0,2.0,2.0,34.0
5,80.0,80.0,2.0,1.0,2.099
5,214.0,856.0,6.0,7.0,41.0
5,70.0,350.0,8.0,9.0,13.2
5,84.0,298.0,6.0,4.0,26.0
5,225.0,2005.0,11.0,11.0,250.0
5,81.0,324.0,3.0,4.0,31.0
5,224.0,224.0,11.0,11.0,250.0
5,181.5,182.0,2.0,3.0,80.0
5,55.0,55.0,4.0,5.0,10.9
5,200.0,1600.0,8.0,8.0,110.0
5,56.0,224.0,4.0,3.0,21.0
5,144.0,144.0,8.0,8.0,68.0
5,46.0,90.0,3.0,3.0,5.68
5,25.0,25.0,4.0,4.0,7.2
5,62.0,62.0,2.0,2.0,8.5
5,57.0,57.0,4.0,4.0,9.2
5,96.2,260.0,4.0,3.0,31.9
5,82.0,240.0,6.0,4.0,25.0
5,201.0,1000.0,10.0,11.0,155.0
5,140.0,700.0,12.0,13.0,66.0
5,146.0,1200.0,13.0,14.0,66.0
5,457.0,457.0,3.0,4.0,182.0
5,160.0,300.0,5.0,6.0,80.0
5,120.0,500.0,6.0,7.0,55.0
5,208.0,400.0,6.0,7.0,35.0
5,48.0,90.0,2.0,1.0,19.5
5,24.0,65.0,3.0,2.0,3.7
5,66.0,300.0,6.0,6.0,13.2
5,59.0,250.0,4.0,4.0,9.6
5,32.0,64.0,3.0,2.0,2.95
5,43.0,86.0,3.0,2.0,4.12
5,62.5,185.0,3.0,3.0,4.15
5,44.0,88.0,3.0,2.0,2.79
5,211.6,575.0,2.0,2.0,180.0
5,80.0,268.0,1.0,1.0,39.5
5,27.0,45.0,2.0,2.0,4.1
5,171.0,513.0,3.0,3.0,31.0
5,64.0,300.0,5.0,5.0,28.5
5,70.0,110.0,2.0,2.0,19.7
5,67.5,240.0,8.0,8.0,30.0
5,40.14,78.3,5.0,4.0,19.0
5,62.0,125.0,3.0,3.0,1.033
5,36.0,100.0,3.0,2.0,15.2
5,43.0,150.0,6.0,6.0,10.0
5,645.0,330.0,3.0,3.0,400.0
5,93.5,334.0,5.0,5.0,80.0
5,402.0,2197.0,7.0,7.0,250.0
5,96.0,320.0,7.0,8.0,21.0
5,90.0,180.0,3.0,2.0,31.0
5,72.0,144.0,4.0,4.0,22.5
5,222.0,222.0,5.0,5.0,35.0
5,63.0,480.0,6.0,7.0,34.0
5,49.0,49.0,3.0,4.0,2.8
5,70.0,70.0,4.0,5.0,2.9
5,36.0,36.0,4.0,4.0,11.5
5,18.0,35.0,1.0,1.0,2.2
5,50.0,200.0,5.0,3.0,22.5
5,50.0,200.0,5.0,3.0,22.5
5,40.0,70.0,2.0,2.0,2.19
5,70.5,70.5,3.0,3.0,3.1
5,57.5,57.5,4.0,5.0,2.95
5,90.0,90.0,5.0,5.0,3.55
5,50.0,50.0,4.0,5.0,2.55
5,41.5,41.5,4.0,4.0,2.99
5,90.0,90.0,5.0,5.0,2.95
5,80.2,80.2,4.0,4.0,2.8
5,85.0,85.0,4.0,3.0,2.95
5,58.0,58.0,3.0,3.0,2.65
5,120.0,120.0,3.0,4.0,3.1
5,56.0,56.0,3.0,3.0,3.3
5,119.0,120.0,5.0,6.0,2.85
5,100.0,100.0,3.0,3.0,4.95
5,70.0,70.0,2.0,2.0,3.4
5,60.0,120.0,3.0,3.0,1.13
5,60.0,120.0,3.0,3.0,1.25
5,60.0,120.0,3.0,3.0,1.13
5,60.0,120.0,3.0,3.0,1.28
5,46.4,46.4,3.0,3.0,2.75
5,52.0,52.0,4.0,3.0,2.9
5,60.0,120.0,3.0,3.0,1.25
5,56.0,56.0,3.0,3.0,3.8
5,65.0,130.0,3.0,3.0,1.12
5,55.0,110.0,3.0,3.0,0.865
5,54.0,108.0,3.0,2.0,0.98
5,100.0,450.0,5.0,5.0,25.0
5,62.0,124.0,2.0,2.0,1.53
5,68.0,136.0,2.0,2.0,1.24
5,68.0,126.0,2.0,2.0,1.24
5,61.0,120.0,2.0,2.0,1.07
5,21.0,80.0,3.0,3.0,4.7
5,64.0,128.0,3.0,4.0,1.55
5,63.0,126.0,3.0,2.0,1.25
5,63.0,126.0,3.0,3.0,1.1
5,62.0,124.0,3.0,3.0,1.09
5,63.0,126.0,3.0,3.0,1.1
5,61.0,122.0,3.0,2.0,0.93
5,61.0,122.0,3.0,3.0,0.91
5,61.0,122.0,3.0,3.0,0.93
5,63.0,126.0,3.0,4.0,1.1
5,62.0,124.0,3.0,2.0,0.91
5,53.7,179.0,4.0,6.0,16.5
5,130.0,200.0,2.0,2.0,18.0
5,65.0,65.0,3.0,3.0,2.25
5,57.0,57.0,3.0,3.0,2.2
5,54.0,162.0,4.0,3.0,0.988
5,51.0,153.0,4.0,3.0,0.958
5,33.0,80.0,2.0,1.0,8.5
5,48.0,48.0,3.0,3.0,2.01
5,24.0,48.0,2.0,2.0,1.8
5,57.0,86.0,2.0,1.0,7.99
5,20.0,20.0,3.0,2.0,1.55
5,22.3,61.0,4.0,3.0,5.8
5,59.0,118.0,3.0,3.0,0.99
5,52.0,104.0,3.0,3.0,1.97
5,66.0,133.0,2.0,2.0,18.35
5,59.0,118.0,3.0,3.0,0.99
5,50.0,110.0,3.0,3.0,1.97
5,52.0,104.0,3.0,3.0,1.97
5,63.0,120.0,3.0,3.0,1.83
5,56.0,54.0,4.0,4.0,13.0
5,74.0,74.0,4.0,4.0,16.9
5,53.5,51.0,2.0,2.0,15.0
5,51.0,51.0,2.0,2.0,17.9
5,60.0,59.0,3.0,3.0,12.9
5,80.0,80.0,10.0,20.0,0.001
5,82.0,90.0,3.0,3.0,27.5
5,36.0,130.0,8.0,10.0,11.0
5,69.0,280.0,7.0,6.0,17.0
5,33.0,135.0,3.0,3.0,18.5
5,120.0,250.0,3.0,3.0,23.5
5,49.0,90.0,4.0,2.0,7.7
5,80.0,80.0,4.0,5.0,3.35
5,300.0,300.0,3.0,3.0,105.0
5,92.0,92.0,5.0,6.0,3.45
5,136.0,600.0,8.0,10.0,25.0
5,120.0,720.0,10.0,10.0,50.0
5,60.0,180.0,4.0,3.0,12.49
5,62.0,300.0,5.0,5.0,11.5
5,52.0,250.0,7.0,6.0,9.8
5,58.0,100.0,4.0,3.0,10.9
5,52.0,100.0,3.0,3.0,8.3
5,48.0,90.0,2.0,2.0,6.3
5,21.0,21.0,4.0,5.0,6.3
5,57.0,79.0,4.0,5.0,7.8
5,243.6,222.1,4.0,4.0,110.0
5,85.0,178.0,2.0,33.0,27.5
5,83.0,83.0,5.0,2.0,2.69
5,30.0,150.0,3.0,3.0,5.6
5,25.0,50.0,2.0,2.0,4.5
5,24.0,96.0,2.0,2.0,5.08
5,243.6,475.1,4.0,4.0,130.0
5,60.0,120.0,3.0,2.0,0.83
5,60.0,120.0,3.0,3.0,0.95
5,80.0,160.0,4.0,3.0,0.98
5,55.0,110.0,3.0,3.0,0.75
5,60.0,120.0,3.0,2.0,0.82
5,63.0,126.0,3.0,2.0,1.1
5,58.0,116.0,3.0,2.0,0.88
5,61.0,60.0,3.0,2.0,0.86
5,64.0,64.0,3.0,3.0,0.98
5,62.0,122.0,3.0,3.0,0.91
5,64.0,126.0,3.0,3.0,0.8
5,60.0,120.0,3.0,3.0,0.83
5,64.0,64.0,4.0,3.0,0.98
5,58.0,116.0,3.0,3.0,0.98
5,45.0,90.0,2.0,2.0,0.99
5,58.0,116.0,3.0,3.0,0.97
5,58.0,116.0,3.0,3.0,0.94
5,56.0,112.0,3.0,3.0,0.99
5,55.0,110.0,2.0,2.0,3.58
5,105.0,500.0,5.0,6.0,55.0
5,38.0,210.0,5.0,6.0,16.99
5,80.0,80.0,4.0,4.0,8.7
5,80.0,80.0,1.0,1.0,8.599
5,82.0,82.0,3.0,3.0,8.5
5,84.0,84.0,3.0,2.0,23.0
5,50.0,140.0,5.0,6.0,18.0
5,75.0,500.0,9.0,11.0,38.0
5,73.0,400.0,9.0,10.0,40.0
5,80.0,450.0,9.0,10.0,31.0
5,63.0,126.0,3.0,3.0,1.83
5,55.0,110.0,3.0,3.0,1.85
5,52.0,104.0,3.0,2.0,1.97
5,59.0,118.0,3.0,3.0,0.99
5,45.0,45.0,2.0,2.0,7.299
5,55.0,55.0,3.0,2.0,5.89
5,45.0,45.0,3.0,4.0,9.0
5,65.0,65.0,2.0,3.0,6.9
5,60.0,60.0,4.0,4.0,12.8
5,45.0,45.0,3.0,3.0,9.0
5,30.0,90.0,3.0,3.0,12.0
5,55.0,109.0,3.0,3.0,1.053
5,68.0,136.0,3.0,3.0,1.39
5,72.0,144.0,3.0,3.0,1.44
5,55.0,110.0,3.0,3.0,1.43
5,35.0,140.0,3.0,3.0,5.2
5,52.0,208.0,5.0,6.0,9.5
5,96.0,762.0,8.0,8.0,36.0
6,81.0,221.0,3.0,3.0,35.0
6,108.0,310.0,5.0,4.0,10.2
6,80.0,280.0,5.0,5.0,14.5
6,76.0,175.0,4.0,3.0,12.0
6,60.0,60.0,1.0,1.0,7.3
6,110.0,330.0,6.0,6.0,19.0
6,80.0,200.0,6.0,3.0,11.0
6,61.0,180.0,5.0,5.0,8.5
6,128.0,205.0,4.0,5.0,16.3
6,120.0,370.0,5.0,6.0,18.0
6,79.0,305.0,5.0,5.0,39.0
6,64.0,150.0,4.0,3.0,9.8
6,64.0,145.0,4.0,3.0,12.4
6,86.0,260.0,4.0,5.0,14.0
6,80.0,260.0,4.0,5.0,13.0
6,37.0,150.0,5.0,4.0,8.9
6,48.0,200.0,5.0,5.0,8.2
6,82.0,230.0,4.0,5.0,9.4
6,68.0,250.0,4.0,5.0,11.2
6,88.2,281.4,4.0,4.0,18.0
6,156.0,728.3,6.0,6.0,35.0
6,90.1,90.1,1.0,1.0,8.8
6,73.0,250.0,4.0,4.0,22.0
6,70.0,130.0,2.0,2.0,9.1
6,80.0,80.0,1.0,1.0,8.8
6,74.0,210.0,6.0,5.0,9.4
6,72.0,260.0,4.0,5.0,10.5
6,80.0,220.0,4.0,3.0,25.0
6,75.0,260.0,5.0,6.0,11.8
6,123.0,155.0,1.0,1.0,16.0
6,80.0,91.4,2.0,2.0,7.2
6,72.0,280.0,6.0,6.0,14.0
6,64.0,230.0,5.0,5.0,10.5
6,90.0,320.0,6.0,7.0,16.5
6,87.0,87.0,1.0,1.0,8.2
6,183.0,627.9,8.0,9.0,43.0
6,47.8,170.0,6.0,4.0,10.8
6,108.0,398.0,20.0,20.0,15.5
6,72.5,165.0,3.0,3.0,10.3
6,125.0,350.0,8.0,8.0,24.5
6,72.0,210.0,4.0,4.0,12.7
6,42.0,180.0,3.0,4.0,8.5
6,122.0,170.0,4.0,3.0,17.5
6,63.0,210.0,4.0,4.0,8.5
6,92.5,308.0,5.0,6.0,8.8
6,60.0,200.0,4.0,3.0,9.1
6,78.0,255.0,5.0,6.0,13.5
6,95.0,220.0,3.0,3.0,12.8
6,85.0,433.0,8.0,10.0,15.0
6,72.0,200.0,3.0,3.0,12.0
6,80.0,250.0,4.0,5.0,13.5
6,64.0,120.0,2.0,2.0,8.2
6,144.0,770.0,8.0,10.0,20.0
6,57.0,113.4,2.0,2.0,8.5
6,68.0,185.0,4.0,5.0,9.8
6,72.0,240.0,4.0,5.0,10.7
6,56.0,210.0,4.0,5.0,9.5
6,60.0,194.0,4.0,3.0,9.5
6,44.0,140.0,4.0,3.0,5.9
6,30.0,45.0,1.0,1.0,3.89
6,40.0,120.0,4.0,3.0,5.0
6,51.3,100.0,2.0,2.0,4.989
6,79.0,140.0,4.0,4.0,5.2
6,39.0,39.0,1.0,1.0,3.5
6,24.0,48.0,2.0,2.0,2.98
6,39.0,78.0,2.0,2.0,4.5
6,40.0,80.0,2.0,2.0,5.9
6,42.0,64.0,2.0,2.0,3.7
6,30.0,60.0,2.0,2.0,2.9
6,26.0,66.0,3.0,3.0,3.3
6,24.0,48.0,1.0,2.0,3.0
6,20.0,60.0,2.0,2.0,2.55
6,48.0,130.0,3.0,3.0,6.2
6,32.0,99.0,4.0,3.0,5.2
6,48.0,70.0,1.0,1.0,5.199
6,86.8,86.8,1.0,1.0,8.199
6,36.0,70.0,2.0,2.0,4.4
6,28.0,56.0,1.0,1.0,3.05
6,35.0,100.0,1.0,3.0,4.199
6,125.0,125.0,5.0,3.0,5.5
6,45.0,45.0,2.0,2.0,5.0
6,80.0,80.0,6.0,6.0,14.5
6,53.0,53.0,4.0,4.0,9.0
6,47.0,130.0,5.0,44.0,5.9
6,56.0,56.0,4.0,4.0,6.3
6,75.0,75.0,5.0,5.0,10.4
6,47.0,47.0,2.0,2.0,6.9
6,80.0,80.0,6.0,4.0,11.5
6,54.0,54.0,2.0,1.0,5.7
6,80.0,80.0,6.0,6.0,10.99
6,57.0,57.0,5.0,4.0,6.899
6,49.0,116.0,4.0,1.0,5.699
6,84.6,235.0,10.0,10.0,18.5
6,50.0,49.0,5.0,5.0,6.35
6,45.0,90.0,1.0,1.0,4.8
6,46.0,92.0,3.0,2.0,5.35
6,64.0,113.2,4.0,2.0,5.8
6,30.0,60.0,1.0,1.0,3.78
6,21.0,21.0,1.0,1.0,3.6
6,443.0,443.0,1.0,1.0,65.0
6,64.0,300.0,7.0,5.0,8.5
6,100.0,380.0,4.0,6.0,15.0
6,88.0,350.0,5.0,5.0,12.9
6,88.0,240.0,4.0,3.0,13.5
6,140.0,400.0,4.0,3.0,12.7
6,145.0,400.0,5.0,3.0,15.5
6,210.0,420.0,5.0,2.0,19.8
6,88.0,300.0,12.0,12.0,9.0
6,88.0,350.0,5.0,4.0,11.2
6,256.0,256.0,5.0,5.0,26.8
6,104.0,600.0,7.0,6.0,15.3
6,205.0,900.0,22.0,20.0,17.8
6,80.0,320.0,4.0,3.0,11.8
6,101.0,200.0,3.0,2.0,11.0
6,74.0,360.0,6.0,6.0,11.0
6,154.0,380.0,6.0,3.0,12.0
6,115.0,400.0,5.0,4.0,13.0
6,200.0,450.0,4.0,3.0,26.0
6,135.0,260.0,5.0,4.0,18.9
6,95.0,450.0,5.0,5.0,9.8
6,50.0,150.0,4.0,3.0,7.6
6,1200.0,3500.0,11.0,21.0,300.0
6,70.0,120.0,4.0,2.0,6.5
6,124.0,300.0,6.0,3.0,17.8
6,132.0,132.0,5.0,5.0,26.0
6,116.0,350.0,10.0,6.0,21.0
6,306.0,610.0,6.0,5.0,36.0
6,80.0,400.0,5.0,6.0,11.8
6,165.0,165.0,3.0,1.0,10.5
6,80.0,400.0,5.0,4.0,9.7
6,78.0,350.0,5.0,4.0,10.6
6,100.0,600.0,5.0,6.0,30.0
6,80.0,400.0,5.0,5.0,14.5
6,100.0,400.0,6.0,4.0,15.0
6,99.0,250.0,4.0,2.0,12.8
6,331.0,1300.0,10.0,6.0,38.0
6,156.0,250.0,4.0,3.0,36.0
6,80.0,300.0,4.0,5.0,12.0
6,184.0,300.0,6.0,3.0,22.8
6,34.0,68.0,2.0,2.0,1.78
6,118.0,350.0,12.0,10.0,27.9
6,32.0,50.0,3.0,3.0,3.2
6,64.0,187.0,2.0,3.0,11.3
6,93.0,93.0,6.0,4.0,24.0
6,80.0,80.0,5.0,5.0,8.8
6,68.0,68.0,6.0,6.0,12.5
6,133.0,133.0,5.0,3.0,10.5
6,96.0,96.0,6.0,7.0,15.0
6,86.0,86.0,5.0,3.0,9.5
6,96.0,96.0,5.0,5.0,12.5
6,68.0,68.0,5.0,5.0,12.5
6,76.0,76.0,4.0,4.0,13.5
6,68.0,68.0,4.0,5.0,12.0
6,128.0,128.0,1.0,1.0,13.5
6,80.0,80.0,5.0,5.0,14.5
6,91.0,91.0,3.0,1.0,14.0
6,60.0,60.0,4.0,4.0,9.2
6,84.0,84.0,4.0,4.0,16.2
6,104.0,104.0,6.0,5.0,15.0
6,50.0,50.0,4.0,4.0,9.8
6,64.0,64.0,4.0,4.0,10.5
6,72.0,72.0,6.0,5.0,10.9
6,64.0,64.0,5.0,4.0,9.0
6,40.0,40.0,40.0,4.0,8.0
6,80.0,80.0,5.0,6.0,13.0
6,72.5,72.5,5.0,4.0,13.0
6,72.0,72.0,8.0,9.0,19.5
6,72.0,72.0,6.0,5.0,15.0
6,101.0,101.0,10.0,11.0,24.0
6,80.0,80.0,2.0,2.0,10.3
6,51.0,51.0,5.0,5.0,9.0
6,84.0,84.0,1.0,1.0,13.5
6,82.0,82.0,4.0,4.0,13.2
6,112.0,112.0,8.0,6.0,21.5
6,115.0,115.0,4.0,4.0,13.0
6,92.5,92.5,4.0,4.0,13.0
6,78.0,78.0,5.0,4.0,15.0
6,76.0,76.0,4.0,4.0,17.0
6,80.0,80.0,4.0,4.0,13.9
6,131.0,131.0,14.0,14.0,27.0
6,80.0,80.0,5.0,4.0,14.9
6,68.0,68.0,5.0,4.0,12.5
6,200.0,200.0,5.0,3.0,31.0
6,96.0,96.0,1.0,1.0,12.0
6,68.0,68.0,4.0,4.0,10.0
6,68.0,68.0,6.0,5.0,12.6
6,98.0,98.0,3.0,2.0,9.0
6,80.0,80.0,5.0,4.0,14.9
6,84.0,84.0,7.0,8.0,14.5
6,80.0,80.0,5.0,4.0,13.0
6,62.0,62.0,6.0,5.0,12.5
6,70.0,70.0,4.0,3.0,10.0
6,64.0,64.0,4.0,4.0,10.5
6,64.0,64.0,10.0,6.0,17.0
6,80.0,80.0,2.0,2.0,10.3
6,58.0,58.0,4.0,3.0,8.0
6,72.0,72.0,4.0,4.0,12.8
6,84.0,84.0,5.0,4.0,16.2
6,80.0,80.0,4.0,4.0,12.5
6,72.0,72.0,4.0,4.0,12.0
6,82.0,82.0,2.0,1.0,13.5
6,268.0,268.0,4.0,3.0,26.8
6,68.0,68.0,1.0,1.0,9.0
6,90.0,90.0,5.0,6.0,13.5
6,200.0,200.0,5.0,5.0,31.0
6,60.0,60.0,5.0,6.0,9.5
6,60.0,60.0,5.0,4.0,10.5
6,66.0,66.0,5.0,6.0,14.5
6,91.0,91.0,2.0,2.0,15.8
6,80.0,80.0,5.0,4.0,13.0
6,133.0,133.0,3.0,1.0,14.5
6,96.0,96.0,4.0,3.0,12.5
6,85.0,85.0,8.0,9.0,15.0
6,90.0,90.0,5.0,4.0,13.5
6,80.0,80.0,4.0,4.0,11.5
6,76.0,76.0,2.0,2.0,8.9
6,115.0,115.0,6.0,4.0,18.0
6,78.0,78.0,5.0,3.0,9.5
6,68.0,68.0,4.0,2.0,9.6
6,74.0,74.0,5.0,6.0,13.2
6,85.0,85.0,1.0,1.0,10.8
6,84.0,84.0,5.0,4.0,11.0
6,68.0,68.0,1.0,1.0,8.6
6,68.0,68.0,8.0,9.0,14.0
6,62.0,62.0,6.0,6.0,15.0
6,80.0,80.0,5.0,4.0,15.5
6,74.0,74.0,2.0,1.0,10.5
6,72.0,72.0,2.0,1.0,13.5
6,106.0,106.0,5.0,6.0,16.0
6,72.0,72.0,4.0,4.0,12.5
6,80.0,80.0,10.0,11.0,13.5
6,90.0,90.0,6.0,5.0,21.5
