Model,Train RMSE,Test RMSE,Train R2,Test R2
Linear_poly_model_2,35.835354101736,24.076107462612647,0.4326970847873708,0.6162141931731572
Linear_Basic_model_1,36.204134506601434,24.655174480248757,0.4209608153111072,0.5975309172020247
Ridge_Basic_model_1,36.210788502506006,24.67254171361117,0.42074795131186904,0.5969637148644794
Ridge_poly_model_2,36.007808097384384,24.6873762635214,0.42722377139707224,0.59647891201161
Lasso_poly_model_2,38.501900832458816,28.165338209937662,0.34512870111972194,0.4747738935557486
Lasso_Basic_model_1,38.50190821311699,28.165344784910506,0.34512845004735593,0.47477364833605595
