Model,Train RMSE,Test RMSE,Train R2,Test R2
Linear_poly_model_2,35.83535410173601,24.076107462612622,0.4326970847873707,0.616214193173158
Linear_Basic_model_1,36.20413450660144,24.655174480248757,0.4209608153111072,0.5975309172020248
Ridge_Basic_model_1,36.210788502506006,24.67254171361117,0.420747951311869,0.5969637148644794
Ridge_poly_model_2,36.007808097384384,24.6873762635214,0.4272237713970722,0.59647891201161
Log Model 3,37.95929709132801,27.570429056998456,0.3634567188564446,0.4967272535078886
Lasso_poly_model_2,38.501900832458816,28.165338209937666,0.3451287011197219,0.4747738935557486
Lasso_Basic_model_1,38.50190821311699,28.165344784910506,0.34512845004735593,0.47477364833605595
